State,Number,Area,Happiness
1,5,10,968
2,8,15,6
3,5,6,6541
4,48,651,34
5,3,654,65
6,1,1,546
7,54,516,56
8,68,51,846
9,443,65,8
10,48,156,546
11,35,1,5
12,48,56,8
13,453,4,5
14,4,68,65
15,684,48,46
16,5,6,54
17,43,849,65
18,54,4,46
19,86,6,54
20,3,5,5
21,241,143,3
22,5,51,4
23,468,35,56
24,1,5,84
25,24,46,65
26,56,7,1
27,8,4,6
28,6,32,5
29,216,1,76
30,54,32,5
31,8,1,41
32,465,3,653
33,41,54,47
34,354,6,65
35,2,8,496
36,46,4,3
37,48,65,4
38,6,4,6
39,2,35,8
40,54,4,94
41,6,65,655
